Date,Sales
07-01-2022,1006
07-02-2022,1254
07-03-2022,1289
07-04-2022,1456
07-05-2022,1578
07-06-2022,2547
07-07-2022,2678
07-08-2022,3245
07-09-2022,3478
07-10-2022,3698
07-11-2022,4789
07-12-2022,4879
7-13-2022,1245
7-14-2022,1457
7-15-2022,1365
7-16-2022,1578
7-17-2022,1647
7-18-2022,2657
7-19-2022,2854
7-20-2022,3478
7-21-2022,3251
7-22-2022,3478
7-23-2022,4521
7-24-2022,4621
7-25-2022,1123
7-26-2022,1140
7-27-2022,1002
7-28-2022,1254
7-29-2022,1289
7-30-2022,2257
7-31-2022,2478
08-01-2022,3021
08-02-2022,3156
08-03-2022,3284
08-04-2022,4256
08-05-2022,4925
08-06-2022,1006
08-07-2022,1254
08-08-2022,1289
08-09-2022,1456
08-10-2022,1578
08-11-2022,2614
08-12-2022,2014
8-13-2022,3245
8-14-2022,3478
8-15-2022,3698
8-16-2022,4789
8-17-2022,4879
8-18-2022,1006
8-19-2022,1254
8-20-2022,1289
8-21-2022,1456
8-22-2022,1578
8-23-2022,2013
8-24-2022,2785
8-25-2022,3245
8-26-2022,3478
8-27-2022,3698
8-28-2022,4789
8-29-2022,4879
8-30-2022,1006
8-31-2022,1254
09-01-2022,1003
09-02-2022,1456
09-03-2022,1578
09-04-2022,3020
09-05-2022,3405
09-06-2022,3245
09-07-2022,3478
09-08-2022,3698
09-09-2022,4789
09-10-2022,4879
09-11-2022,2000
09-12-2022,1254
9-13-2022,1289
9-14-2022,1456
9-15-2022,1578
9-16-2022,2847
9-17-2022,2321
9-18-2022,3245
9-19-2022,3478
9-20-2022,3698
9-21-2022,4789
9-22-2022,4879
9-23-2022,1006
9-24-2022,1254
9-25-2022,1289
9-26-2022,1456
9-27-2022,1578
9-28-2022,2879
9-29-2022,2121
9-30-2022,3245
10-01-2022,3478
10-02-2022,3698
10-03-2022,4789
10-04-2022,4879
10-05-2022,1006
10-06-2022,1254
10-07-2022,1289
10-08-2022,1456
10-09-2022,1578
10-10-2022,2364
10-11-2022,2548
10-12-2022,3356
10-13-2022,3478
